I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
16,16,1024,2,2,4,64,0.01355,2.709999,0.022273,0.00052,0.983637
16,16,1024,2,2,8,64,0.013547,2.709397,0.022284,0.00052,0.981259
16,16,1024,2,4,4,64,0.013541,2.708214,0.02213,0.00052,0.991222
16,16,1024,2,4,8,64,0.013538,2.707685,0.022141,0.00052,0.988825
16,16,1024,4,2,4,64,0.013558,2.711556,0.022268,0.000469,0.984071
16,16,1024,4,2,8,64,0.013552,2.710397,0.02228,0.000468,0.981716
16,16,1024,4,4,4,64,0.01355,2.709996,0.022136,0.00047,0.991656
16,16,1024,4,4,8,64,0.013546,2.709278,0.022141,0.000469,0.989282
16,16,2048,2,2,4,64,0.013469,2.693832,0.022268,0.00052,0.977846
16,16,2048,2,2,8,64,0.013438,2.687589,0.022281,0.00052,0.974844
16,16,2048,2,4,4,64,0.013453,2.690644,0.022129,0.00052,0.985379
16,16,2048,2,4,8,64,0.013437,2.687488,0.022141,0.00052,0.982346
16,16,2048,4,2,4,64,0.013462,2.692405,0.022274,0.000469,0.978261
16,16,2048,4,2,8,64,0.013454,2.690704,0.022281,0.000468,0.975282
16,16,2048,4,4,4,64,0.013447,2.689402,0.022131,0.00047,0.985801
16,16,2048,4,4,8,64,0.013445,2.689,0.022139,0.000469,0.982791
16,16,256,2,2,4,64,0.013612,2.722456,0.022259,0.00052,0.987844
16,16,256,2,2,8,64,0.013621,2.724215,0.022262,0.00052,0.987877
16,16,256,2,4,4,64,0.013611,2.722111,0.022123,0.00052,0.995446
16,16,256,2,4,8,64,0.013611,2.722112,0.022121,0.00052,0.995471
16,16,256,4,2,4,64,0.013624,2.724866,0.022265,0.000469,0.98824
16,16,256,4,2,8,64,0.01362,2.724014,0.022261,0.000469,0.988265
16,16,256,4,4,4,64,0.013611,2.722111,0.022122,0.00047,0.995832
16,16,256,4,4,8,64,0.013611,2.722112,0.022121,0.00047,0.995857
16,16,4096,2,2,4,64,0.013238,2.647593,0.022268,0.00052,0.964534
16,16,4096,2,2,8,64,0.013213,2.642561,0.022276,0.00052,0.96036
16,16,4096,2,4,4,64,0.013233,2.646534,0.02212,0.00052,0.971964
16,16,4096,2,4,8,64,0.013206,2.641202,0.022133,0.00052,0.967758
16,16,4096,4,2,4,64,0.013244,2.648811,0.022267,0.000469,0.964958
16,16,4096,4,2,8,64,0.01322,2.644029,0.02228,0.000468,0.960798
16,16,4096,4,4,4,64,0.013229,2.645881,0.022124,0.00047,0.972387
16,16,4096,4,4,8,64,0.013212,2.642348,0.022133,0.000469,0.968195
16,16,512,2,2,4,64,0.013601,2.720194,0.022273,0.00052,0.986286
16,16,512,2,2,8,64,0.013609,2.721755,0.022266,0.00052,0.986803
16,16,512,2,4,4,64,0.013596,2.719114,0.022129,0.00052,0.993884
16,16,512,2,4,8,64,0.01359,2.718049,0.022122,0.00052,0.994396
16,16,512,4,2,4,64,0.013601,2.720194,0.022275,0.000469,0.986664
16,16,512,4,2,8,64,0.013609,2.721751,0.022267,0.000469,0.987198
16,16,512,4,4,4,64,0.013596,2.719114,0.022129,0.00047,0.994261
16,16,512,4,4,8,64,0.013596,2.719114,0.022123,0.00047,0.99479
16,32,1024,2,2,4,64,0.013543,2.708629,0.022141,0.00052,0.990592
16,32,1024,2,2,8,64,0.013539,2.70773,0.022148,0.00052,0.988213
16,32,1024,2,4,4,64,0.013539,2.70784,0.022071,0.00052,0.994024
16,32,1024,2,4,8,64,0.013535,2.707076,0.022085,0.00052,0.991637
16,32,1024,4,2,4,64,0.013551,2.710263,0.022142,0.00047,0.991025
16,32,1024,4,2,8,64,0.013545,2.708935,0.022149,0.000469,0.988669
16,32,1024,4,4,4,64,0.013548,2.70965,0.022077,0.00047,0.99446
16,32,1024,4,4,8,64,0.013542,2.708439,0.022087,0.000469,0.992097
16,32,2048,2,2,4,64,0.013455,2.690981,0.022137,0.00052,0.984752
16,32,2048,2,2,8,64,0.013438,2.687589,0.022149,0.00052,0.981745
16,32,2048,2,4,4,64,0.01345,2.690061,0.022074,0.00052,0.988164
16,32,2048,2,4,8,64,0.013432,2.686454,0.022086,0.00052,0.985147
16,32,2048,4,2,4,64,0.013447,2.689426,0.022136,0.00047,0.985173
16,32,2048,4,2,8,64,0.013445,2.689072,0.022147,0.000469,0.98219
16,32,2048,4,4,4,64,0.013445,2.689032,0.022074,0.00047,0.988589
16,32,2048,4,4,8,64,0.013443,2.688641,0.022086,0.000469,0.985595
16,32,256,2,2,4,64,0.013612,2.722457,0.022133,0.00052,0.994829
16,32,256,2,2,8,64,0.01361,2.721902,0.022129,0.00052,0.994862
16,32,256,2,4,4,64,0.013608,2.721652,0.022066,0.00052,0.998268
16,32,256,2,4,8,64,0.013606,2.721163,0.022065,0.00052,0.998301
16,32,256,4,2,4,64,0.01361,2.721906,0.022127,0.00047,0.995223
16,32,256,4,2,8,64,0.013604,2.720899,0.022133,0.00047,0.995248
16,32,256,4,4,4,64,0.013606,2.721163,0.022064,0.00047,0.998665
16,32,256,4,4,8,64,0.0136,2.720095,0.022065,0.00047,0.99869
16,32,4096,2,2,4,64,0.013234,2.646753,0.022131,0.00052,0.971346
16,32,4096,2,2,8,64,0.013206,2.641138,0.022139,0.00052,0.967166
16,32,4096,2,4,4,64,0.013229,2.645802,0.022065,0.00052,0.974711
16,32,4096,2,4,8,64,0.0132,2.639989,0.022075,0.00052,0.970517
16,32,4096,4,2,4,64,0.013231,2.646289,0.022129,0.00047,0.971768
16,32,4096,4,2,8,64,0.013212,2.642429,0.022142,0.000469,0.967603
16,32,4096,4,4,4,64,0.013227,2.645452,0.022068,0.00047,0.975137
16,32,4096,4,4,8,64,0.013207,2.641483,0.022075,0.000469,0.970957
16,32,512,2,2,4,64,0.013601,2.720141,0.022137,0.00052,0.99326
16,32,512,2,2,8,64,0.013602,2.720345,0.022128,0.00052,0.99378
16,32,512,2,4,4,64,0.013595,2.718986,0.022074,0.00052,0.996701
16,32,512,2,4,8,64,0.013598,2.719606,0.022065,0.00052,0.997215
