I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,sim_seconds,CPI,D MR,I MR,L2 MR
16,16,1024,2,2,4,0.006598,1.319551,0.008025,0.005492,0.124978
16,16,1024,2,2,8,0.006598,1.319551,0.008025,0.005492,0.124978
16,16,1024,2,4,4,0.006455,1.291063,0.00417,0.005491,0.206093
16,16,1024,2,4,8,0.006455,1.291063,0.00417,0.005491,0.206093
16,16,1024,4,2,4,0.006554,1.310715,0.008023,0.001534,0.1522
16,16,1024,4,2,8,0.006554,1.310715,0.008023,0.001534,0.1522
16,16,1024,4,4,4,0.006409,1.281748,0.004169,0.001532,0.29233
16,16,1024,4,4,8,0.006409,1.281748,0.004169,0.001532,0.29233
16,16,2048,2,2,4,0.006598,1.319551,0.008025,0.005492,0.124978
16,16,2048,2,2,8,0.006598,1.319551,0.008025,0.005492,0.124978
16,16,2048,2,4,4,0.006455,1.291063,0.00417,0.005491,0.206093
16,16,2048,2,4,8,0.006455,1.291063,0.00417,0.005491,0.206093
16,16,2048,4,2,4,0.006554,1.310715,0.008023,0.001534,0.1522
16,16,2048,4,2,8,0.006554,1.310715,0.008023,0.001534,0.1522
16,16,2048,4,4,4,0.006409,1.281748,0.004169,0.001532,0.29233
16,16,2048,4,4,8,0.006409,1.281748,0.004169,0.001532,0.29233
16,16,256,2,2,4,0.006603,1.320534,0.008026,0.005492,0.127
16,16,256,2,2,8,0.006598,1.319565,0.008025,0.005492,0.125054
16,16,256,2,4,4,0.00646,1.292029,0.004171,0.005491,0.209302
16,16,256,2,4,8,0.006455,1.291077,0.00417,0.005491,0.206218
16,16,256,4,2,4,0.006556,1.311162,0.008023,0.001534,0.153493
16,16,256,4,2,8,0.006554,1.310827,0.008023,0.001534,0.152292
16,16,256,4,4,4,0.006412,1.282448,0.004169,0.001532,0.294695
16,16,256,4,4,8,0.006409,1.2819,0.004169,0.001532,0.292507
16,16,4096,2,2,4,0.006598,1.319551,0.008025,0.005492,0.124978
16,16,4096,2,2,8,0.006598,1.319551,0.008025,0.005492,0.124978
16,16,4096,2,4,4,0.006455,1.291063,0.00417,0.005491,0.206093
16,16,4096,2,4,8,0.006455,1.291063,0.00417,0.005491,0.206093
