I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
16,16,1024,2,2,4,64,0.01741,3.481916,0.060933,0.001066,0.998882
16,16,1024,2,2,8,64,0.017416,3.483128,0.060933,0.001066,0.998882
16,16,1024,2,4,4,64,0.017438,3.487658,0.060932,0.001063,0.998928
16,16,1024,2,4,8,64,0.017438,3.487658,0.060932,0.001063,0.998928
16,16,1024,4,2,4,64,0.017438,3.487658,0.060933,0.00101,0.999116
16,16,1024,4,2,8,64,0.017438,3.487658,0.060933,0.00101,0.999116
16,16,1024,4,4,4,64,0.017438,3.487658,0.060932,0.001007,0.999163
16,16,1024,4,4,8,64,0.017438,3.487658,0.060932,0.001007,0.999163
16,16,2048,2,2,4,64,0.01732,3.464064,0.060933,0.001066,0.998882
16,16,2048,2,2,8,64,0.01732,3.464064,0.060933,0.001066,0.998882
16,16,2048,2,4,4,64,0.017321,3.46417,0.060932,0.001063,0.998928
16,16,2048,2,4,8,64,0.017321,3.46417,0.060932,0.001063,0.998928
16,16,2048,4,2,4,64,0.01732,3.464064,0.060933,0.00101,0.999116
16,16,2048,4,2,8,64,0.017321,3.46417,0.060933,0.00101,0.999116
16,16,2048,4,4,4,64,0.017321,3.46417,0.060932,0.001007,0.999163
16,16,2048,4,4,8,64,0.017321,3.46417,0.060932,0.001007,0.999163
16,16,256,2,2,4,64,0.017495,3.499003,0.060933,0.001066,0.998882
16,16,256,2,2,8,64,0.017495,3.499003,0.060933,0.001066,0.998882
16,16,256,2,4,4,64,0.017501,3.500202,0.060932,0.001063,0.998928
16,16,256,2,4,8,64,0.017501,3.500202,0.060932,0.001063,0.998928
16,16,256,4,2,4,64,0.017501,3.500202,0.060933,0.00101,0.999116
16,16,256,4,2,8,64,0.017521,3.504107,0.060933,0.00101,0.999116
16,16,256,4,4,4,64,0.017501,3.500202,0.060932,0.001007,0.999163
16,16,256,4,4,8,64,0.017501,3.500202,0.060932,0.001007,0.999163
16,16,4096,2,2,4,64,0.017116,3.42313,0.060933,0.001066,0.998882
16,16,4096,2,2,8,64,0.017116,3.42313,0.060933,0.001066,0.998882
16,16,4096,2,4,4,64,0.017116,3.42313,0.060932,0.001063,0.998928
16,16,4096,2,4,8,64,0.017116,3.42313,0.060932,0.001063,0.998928
16,16,4096,4,2,4,64,0.017116,3.42313,0.060933,0.00101,0.999116
16,16,4096,4,2,8,64,0.017126,3.425239,0.060933,0.00101,0.999116
16,16,4096,4,4,4,64,0.017116,3.42313,0.060932,0.001007,0.999163
16,16,4096,4,4,8,64,0.017116,3.42313,0.060932,0.001007,0.999163
16,16,512,2,2,4,64,0.017492,3.49843,0.060933,0.001066,0.998882
16,16,512,2,2,8,64,0.017492,3.49843,0.060933,0.001066,0.998882
16,16,512,2,4,4,64,0.017475,3.495026,0.060932,0.001063,0.998928
16,16,512,2,4,8,64,0.017475,3.495026,0.060932,0.001063,0.998928
16,16,512,4,2,4,64,0.017476,3.495123,0.060933,0.00101,0.999116
16,16,512,4,2,8,64,0.017476,3.495123,0.060933,0.00101,0.999116
16,16,512,4,4,4,64,0.017475,3.495026,0.060932,0.001007,0.999163
16,16,512,4,4,8,64,0.017475,3.495026,0.060932,0.001007,0.999163
16,32,1024,2,2,4,64,0.017438,3.487658,0.060932,0.001063,0.998928
16,32,1024,2,2,8,64,0.017438,3.487658,0.060932,0.001063,0.998928
16,32,1024,2,4,4,64,0.017438,3.487658,0.060932,0.001063,0.998935
16,32,1024,2,4,8,64,0.017438,3.487658,0.060932,0.001063,0.998935
16,32,1024,4,2,4,64,0.01741,3.481916,0.060932,0.001007,0.999163
16,32,1024,4,2,8,64,0.01741,3.481916,0.060932,0.001007,0.999163
16,32,1024,4,4,4,64,0.01741,3.481916,0.060932,0.001007,0.999169
16,32,1024,4,4,8,64,0.01741,3.481916,0.060932,0.001007,0.999169
16,32,2048,2,2,4,64,0.017321,3.46417,0.060932,0.001063,0.998928
16,32,2048,2,2,8,64,0.017321,3.46417,0.060932,0.001063,0.998928
16,32,2048,2,4,4,64,0.017321,3.46417,0.060932,0.001063,0.998935
16,32,2048,2,4,8,64,0.017321,3.46417,0.060932,0.001063,0.998935
16,32,2048,4,2,4,64,0.017326,3.465257,0.060932,0.001007,0.999163
16,32,2048,4,2,8,64,0.017326,3.465257,0.060932,0.001007,0.999163
16,32,2048,4,4,4,64,0.017326,3.465257,0.060932,0.001007,0.999169
16,32,2048,4,4,8,64,0.01731,3.462099,0.060932,0.001007,0.999169
16,32,256,2,2,4,64,0.017501,3.500202,0.060932,0.001063,0.998928
16,32,256,2,2,8,64,0.017491,3.498101,0.060932,0.001063,0.998928
16,32,256,2,4,4,64,0.017501,3.500202,0.060932,0.001063,0.998935
16,32,256,2,4,8,64,0.017501,3.500202,0.060932,0.001063,0.998935
16,32,256,4,2,4,64,0.017501,3.500202,0.060932,0.001007,0.999163
16,32,256,4,2,8,64,0.017501,3.500202,0.060932,0.001007,0.999163
16,32,256,4,4,4,64,0.017491,3.498101,0.060932,0.001007,0.999169
16,32,256,4,4,8,64,0.017501,3.500202,0.060932,0.001007,0.999169
16,32,4096,2,2,4,64,0.017116,3.42313,0.060932,0.001063,0.998928
16,32,4096,2,2,8,64,0.017116,3.42313,0.060932,0.001063,0.998928
16,32,4096,2,4,4,64,0.017116,3.42313,0.060932,0.001063,0.998935
16,32,4096,2,4,8,64,0.017116,3.42313,0.060932,0.001063,0.998935
16,32,4096,4,2,4,64,0.017096,3.419281,0.060932,0.001007,0.999163
