I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
16,16,1024,2,2,4,64,0.028328,5.665648,0.082381,0.000249,0.999091
16,16,1024,2,2,8,64,0.02833,5.665962,0.082381,0.000249,0.999091
16,16,1024,2,4,4,64,0.02833,5.666086,0.082364,0.000249,0.999461
16,16,1024,2,4,8,64,0.028329,5.66587,0.082364,0.000249,0.999461
16,16,1024,4,2,4,64,0.028327,5.665431,0.082381,0.000232,0.999212
16,16,1024,4,2,8,64,0.028329,5.665843,0.082381,0.000232,0.999212
16,16,1024,4,4,4,64,0.028326,5.665122,0.082364,0.000232,0.999581
16,16,1024,4,4,8,64,0.028329,5.665843,0.082364,0.000232,0.999581
16,16,2048,2,2,4,64,0.028203,5.640594,0.082381,0.000249,0.999091
16,16,2048,2,2,8,64,0.028197,5.639339,0.082381,0.000249,0.999091
16,16,2048,2,4,4,64,0.028204,5.640793,0.082364,0.000249,0.999461
16,16,2048,2,4,8,64,0.028202,5.640359,0.082364,0.000249,0.999461
16,16,2048,4,2,4,64,0.028202,5.640359,0.082381,0.000232,0.999212
16,16,2048,4,2,8,64,0.028205,5.640955,0.082381,0.000232,0.999212
16,16,2048,4,4,4,64,0.028202,5.640359,0.082364,0.000232,0.999581
16,16,2048,4,4,8,64,0.028203,5.640594,0.082364,0.000232,0.999581
16,16,256,2,2,4,64,0.028416,5.683126,0.082381,0.000249,0.999106
16,16,256,2,2,8,64,0.028416,5.683181,0.082381,0.000249,0.999103
16,16,256,2,4,4,64,0.028422,5.684443,0.082364,0.000249,0.999479
16,16,256,2,4,8,64,0.028416,5.683206,0.082364,0.000249,0.999472
16,16,256,4,2,4,64,0.028412,5.682492,0.082381,0.000232,0.999227
16,16,256,4,2,8,64,0.028416,5.683126,0.082381,0.000232,0.999223
16,16,256,4,4,4,64,0.028418,5.683514,0.082364,0.000232,0.999596
16,16,256,4,4,8,64,0.028415,5.682925,0.082364,0.000232,0.999593
16,16,4096,2,2,4,64,0.027953,5.590683,0.082381,0.000249,0.999091
16,16,4096,2,2,8,64,0.027953,5.590683,0.082381,0.000249,0.999091
16,16,4096,2,4,4,64,0.027952,5.590457,0.082364,0.000249,0.999461
16,16,4096,2,4,8,64,0.027953,5.590683,0.082364,0.000249,0.999461
16,16,4096,4,2,4,64,0.027953,5.590683,0.082381,0.000232,0.999212
16,16,4096,4,2,8,64,0.027953,5.590683,0.082381,0.000232,0.999212
16,16,4096,4,4,4,64,0.027952,5.590457,0.082364,0.000232,0.999581
16,16,4096,4,4,8,64,0.027953,5.590683,0.082364,0.000232,0.999581
16,16,512,2,2,4,64,0.028392,5.678301,0.082381,0.000249,0.999091
16,16,512,2,2,8,64,0.028387,5.677449,0.082381,0.000249,0.999091
16,16,512,2,4,4,64,0.028383,5.676644,0.082364,0.000249,0.999461
16,16,512,2,4,8,64,0.028387,5.677346,0.082364,0.000249,0.999461
16,16,512,4,2,4,64,0.028392,5.678301,0.082381,0.000232,0.999212
16,16,512,4,2,8,64,0.028386,5.677124,0.082381,0.000232,0.999212
16,16,512,4,4,4,64,0.028392,5.678329,0.082364,0.000232,0.999581
16,16,512,4,4,8,64,0.028386,5.677284,0.082364,0.000232,0.999581
16,32,1024,2,2,4,64,0.028326,5.665122,0.082379,0.000249,0.999148
16,32,1024,2,2,8,64,0.02833,5.665962,0.082379,0.000249,0.999148
16,32,1024,2,4,4,64,0.028327,5.665431,0.082362,0.000249,0.999506
16,32,1024,2,4,8,64,0.028329,5.66587,0.082362,0.000249,0.999506
16,32,1024,4,2,4,64,0.028327,5.665431,0.082379,0.000232,0.999268
16,32,1024,4,2,8,64,0.028329,5.665843,0.082379,0.000232,0.999268
16,32,1024,4,4,4,64,0.028316,5.663201,0.082362,0.000232,0.999627
16,32,1024,4,4,8,64,0.028329,5.66587,0.082362,0.000232,0.999627
16,32,2048,2,2,4,64,0.028202,5.640464,0.082379,0.000249,0.999148
16,32,2048,2,2,8,64,0.028202,5.640359,0.082379,0.000249,0.999148
16,32,2048,2,4,4,64,0.028204,5.640793,0.082362,0.000249,0.999506
16,32,2048,2,4,8,64,0.028203,5.640594,0.082362,0.000249,0.999506
16,32,2048,4,2,4,64,0.028203,5.640515,0.082379,0.000232,0.999268
16,32,2048,4,2,8,64,0.028203,5.640515,0.082379,0.000232,0.999268
16,32,2048,4,4,4,64,0.028202,5.640359,0.082362,0.000232,0.999627
16,32,2048,4,4,8,64,0.028196,5.63927,0.082362,0.000232,0.999627
16,32,256,2,2,4,64,0.028422,5.684396,0.082379,0.000249,0.999167
16,32,256,2,2,8,64,0.028416,5.683126,0.082379,0.000249,0.999159
16,32,256,2,4,4,64,0.028412,5.68237,0.082362,0.000249,0.999525
16,32,256,2,4,8,64,0.028416,5.683181,0.082362,0.000249,0.999517
16,32,256,4,2,4,64,0.028418,5.683679,0.082379,0.000232,0.999283
16,32,256,4,2,8,64,0.028416,5.683206,0.082379,0.000232,0.99928
16,32,256,4,4,4,64,0.028414,5.682873,0.082362,0.000232,0.999642
16,32,256,4,4,8,64,0.028415,5.683006,0.082362,0.000232,0.999638
16,32,4096,2,2,4,64,0.027953,5.590683,0.082379,0.000249,0.999148
16,32,4096,2,2,8,64,0.027953,5.590683,0.082379,0.000249,0.999148
16,32,4096,2,4,4,64,0.027954,5.590865,0.082362,0.000249,0.999506
16,32,4096,2,4,8,64,0.027955,5.591095,0.082362,0.000249,0.999506
16,32,4096,4,2,4,64,0.027953,5.590683,0.082379,0.000232,0.999268
16,32,4096,4,2,8,64,0.027954,5.590865,0.082379,0.000232,0.999268
16,32,4096,4,4,4,64,0.027954,5.590865,0.082362,0.000232,0.999627
16,32,4096,4,4,8,64,0.027955,5.590961,0.082362,0.000232,0.999627
16,32,512,2,2,4,64,0.028383,5.676644,0.082379,0.000249,0.999148
16,32,512,2,2,8,64,0.02838,5.675989,0.082379,0.000249,0.999148
16,32,512,2,4,4,64,0.028392,5.678334,0.082362,0.000249,0.999506
16,32,512,2,4,8,64,0.028377,5.675429,0.082362,0.000249,0.999506
16,32,512,4,2,4,64,0.028392,5.678329,0.082379,0.000232,0.999268
16,32,512,4,2,8,64,0.028391,5.678106,0.082379,0.000232,0.999268
16,32,512,4,4,4,64,0.028391,5.678106,0.082362,0.000232,0.999627
16,32,512,4,4,8,64,0.028377,5.675429,0.082362,0.000232,0.999627
16,64,1024,2,2,4,64,0.028325,5.664957,0.082361,0.000249,0.999521
16,64,1024,2,2,8,64,0.028328,5.665648,0.082361,0.000249,0.999521
16,64,1024,2,4,4,64,0.028325,5.664957,0.082361,0.000249,0.999525
16,64,1024,2,4,8,64,0.028328,5.665648,0.082361,0.000249,0.999525
16,64,1024,4,2,4,64,0.028327,5.665449,0.082361,0.000232,0.999642
16,64,1024,4,2,8,64,0.028328,5.665648,0.082361,0.000232,0.999642
16,64,1024,4,4,4,64,0.028322,5.664439,0.082361,0.000232,0.999645
16,64,1024,4,4,8,64,0.028322,5.664439,0.082361,0.000232,0.999645
16,64,2048,2,2,4,64,0.028202,5.640359,0.082361,0.000249,0.999521
16,64,2048,2,2,8,64,0.028203,5.640594,0.082361,0.000249,0.999521
16,64,2048,2,4,4,64,0.028205,5.64096,0.082361,0.000249,0.999525
16,64,2048,2,4,8,64,0.028205,5.64096,0.082361,0.000249,0.999525
16,64,2048,4,2,4,64,0.028202,5.640359,0.082361,0.000232,0.999642
16,64,2048,4,2,8,64,0.028202,5.640359,0.082361,0.000232,0.999642
16,64,2048,4,4,4,64,0.028202,5.640359,0.082361,0.000232,0.999645
16,64,2048,4,4,8,64,0.028202,5.640359,0.082361,0.000232,0.999645
16,64,256,2,2,4,64,0.028412,5.68237,0.082361,0.000249,0.99954
16,64,256,2,2,8,64,0.028416,5.683126,0.082361,0.000249,0.999532
16,64,256,2,4,4,64,0.02842,5.683944,0.082361,0.000249,0.999544
16,64,256,2,4,8,64,0.028415,5.683006,0.082361,0.000249,0.999536
16,64,256,4,2,4,64,0.028421,5.684163,0.082361,0.000232,0.999657
16,64,256,4,2,8,64,0.028415,5.682925,0.082361,0.000232,0.999653
16,64,256,4,4,4,64,0.028416,5.683206,0.082361,0.000232,0.99966
16,64,256,4,4,8,64,0.028416,5.683126,0.082361,0.000232,0.999657
16,64,4096,2,2,4,64,0.027952,5.590457,0.082361,0.000249,0.999521
16,64,4096,2,2,8,64,0.027952,5.590457,0.082361,0.000249,0.999521
16,64,4096,2,4,4,64,0.027954,5.590865,0.082361,0.000249,0.999525
16,64,4096,2,4,8,64,0.027955,5.591095,0.082361,0.000249,0.999525
16,64,4096,4,2,4,64,0.027952,5.590457,0.082361,0.000232,0.999642
16,64,4096,4,2,8,64,0.027956,5.591286,0.082361,0.000232,0.999642
16,64,4096,4,4,4,64,0.027954,5.590865,0.082361,0.000232,0.999645
16,64,4096,4,4,8,64,0.027945,5.588934,0.082361,0.000232,0.999645
16,64,512,2,2,4,64,0.028391,5.678197,0.082361,0.000249,0.999521
16,64,512,2,2,8,64,0.028377,5.675429,0.082361,0.000249,0.999521
16,64,512,2,4,4,64,0.028391,5.678106,0.082361,0.000249,0.999525
16,64,512,2,4,8,64,0.028386,5.677199,0.082361,0.000249,0.999525
16,64,512,4,2,4,64,0.028393,5.678568,0.082361,0.000232,0.999642
16,64,512,4,2,8,64,0.028387,5.677415,0.082361,0.000232,0.999642
16,64,512,4,4,4,64,0.028393,5.678568,0.082361,0.000232,0.999645
16,64,512,4,4,8,64,0.028389,5.677838,0.082361,0.000232,0.999645
16,8,1024,2,2,4,64,0.02838,5.67591,0.083654,0.000249,0.969585
16,8,1024,2,2,8,64,0.028384,5.676897,0.083654,0.000249,0.969585
16,8,1024,4,2,4,64,0.028383,5.676696,0.083654,0.000232,0.969698
16,8,1024,4,2,8,64,0.028378,5.675658,0.083654,0.000232,0.969698
16,8,2048,2,2,4,64,0.028258,5.651616,0.083654,0.000249,0.969585
16,8,2048,2,2,8,64,0.028255,5.650994,0.083654,0.000249,0.969585
16,8,2048,4,2,4,64,0.028258,5.651667,0.083654,0.000232,0.969698
16,8,2048,4,2,8,64,0.028253,5.650513,0.083654,0.000232,0.969698
16,8,256,2,2,4,64,0.028468,5.693678,0.083654,0.000249,0.969599
16,8,256,2,2,8,64,0.028467,5.69341,0.083654,0.000249,0.969596
16,8,256,4,2,4,64,0.028475,5.695002,0.083654,0.000232,0.969717
16,8,256,4,2,8,64,0.028472,5.694345,0.083654,0.000232,0.969709
16,8,4096,2,2,4,64,0.028011,5.602256,0.083654,0.000249,0.969585
16,8,4096,2,2,8,64,0.028009,5.601766,0.083654,0.000249,0.969585
16,8,4096,4,2,4,64,0.028011,5.602256,0.083654,0.000232,0.969698
16,8,4096,4,2,8,64,0.028013,5.602537,0.083654,0.000232,0.969698
16,8,512,2,2,4,64,0.028447,5.689355,0.083654,0.000249,0.969585
16,8,512,2,2,8,64,0.028444,5.688704,0.083654,0.000249,0.969585
16,8,512,4,2,4,64,0.028449,5.689736,0.083654,0.000232,0.969698
16,8,512,4,2,8,64,0.028445,5.689033,0.083654,0.000232,0.969698
32,16,1024,2,2,4,64,0.028327,5.665431,0.082382,0.000227,0.999253
32,16,1024,2,2,8,64,0.028329,5.665843,0.082382,0.000227,0.999253
32,16,1024,2,4,4,64,0.028328,5.665648,0.082364,0.000227,0.999623
32,16,1024,2,4,8,64,0.028328,5.665648,0.082364,0.000227,0.999623
32,16,1024,4,2,4,64,0.028328,5.665648,0.082382,0.000222,0.999287
32,16,1024,4,2,8,64,0.028329,5.665843,0.082382,0.000222,0.999287
32,16,1024,4,4,4,64,0.028327,5.665431,0.082364,0.000222,0.999657
32,16,1024,4,4,8,64,0.028329,5.66587,0.082364,0.000222,0.999657
32,16,2048,2,2,4,64,0.028205,5.64096,0.082382,0.000227,0.999253
32,16,2048,2,2,8,64,0.028202,5.640359,0.082382,0.000227,0.999253
32,16,2048,2,4,4,64,0.028204,5.640793,0.082364,0.000227,0.999623
32,16,2048,2,4,8,64,0.028202,5.640359,0.082364,0.000227,0.999623
32,16,2048,4,2,4,64,0.028201,5.640289,0.082382,0.000222,0.999287
32,16,2048,4,2,8,64,0.028203,5.640594,0.082382,0.000222,0.999287
32,16,2048,4,4,4,64,0.028202,5.640359,0.082364,0.000222,0.999657
32,16,2048,4,4,8,64,0.028203,5.640594,0.082364,0.000222,0.999657
32,16,256,2,2,4,64,0.02842,5.6841,0.082382,0.000227,0.999261
32,16,256,2,2,8,64,0.028414,5.682873,0.082382,0.000227,0.999257
32,16,256,2,4,4,64,0.028417,5.683427,0.082364,0.000227,0.99963
32,16,256,2,4,8,64,0.028419,5.683733,0.082364,0.000227,0.999627
32,16,256,4,2,4,64,0.02842,5.6841,0.082382,0.000222,0.999295
32,16,256,4,2,8,64,0.028416,5.683126,0.082382,0.000222,0.999295
