I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
128,128,4096,2,2,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
128,128,4096,2,2,8,256,0.009848,1.969635,0.015245,0.000792,0.999172
128,128,4096,2,4,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
128,128,4096,2,4,8,256,0.009848,1.969635,0.015245,0.000792,0.999172
128,128,4096,4,2,8,128,0.012481,2.496272,0.030475,0.00094,0.999652
128,128,4096,4,2,8,256,0.009846,1.969119,0.015245,0.000769,0.999359
128,128,4096,4,4,8,128,0.012481,2.496272,0.030475,0.00094,0.999652
128,128,4096,4,4,8,256,0.009846,1.969119,0.015245,0.000769,0.999359
128,16,4096,2,2,8,128,0.012481,2.496272,0.030478,0.000956,0.999411
128,16,4096,2,2,8,256,0.009848,1.969635,0.015257,0.000792,0.997894
128,16,4096,2,4,8,128,0.012481,2.496272,0.030476,0.000956,0.999532
128,16,4096,2,4,8,256,0.009848,1.969635,0.015249,0.000792,0.998772
128,16,4096,4,2,8,128,0.012481,2.496272,0.030478,0.00094,0.999491
128,16,4096,4,2,8,256,0.009848,1.969635,0.015257,0.000769,0.99808
128,16,4096,4,4,8,128,0.012481,2.496272,0.030476,0.00094,0.999612
128,16,4096,4,4,8,256,0.009848,1.969635,0.015249,0.000769,0.998959
128,32,4096,2,2,8,128,0.012481,2.496272,0.030475,0.000956,0.999558
128,32,4096,2,2,8,256,0.009848,1.969635,0.015246,0.000792,0.999012
128,32,4096,2,4,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
128,32,4096,2,4,8,256,0.009848,1.969635,0.015245,0.000792,0.999146
128,32,4096,4,2,8,128,0.012481,2.496272,0.030475,0.00094,0.999639
128,32,4096,4,2,8,256,0.009846,1.969119,0.015246,0.000769,0.999199
128,32,4096,4,4,8,128,0.012481,2.496272,0.030475,0.00094,0.999652
128,32,4096,4,4,8,256,0.009846,1.969119,0.015245,0.000769,0.999332
128,64,4096,2,2,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
128,64,4096,2,2,8,256,0.009848,1.969635,0.015245,0.000792,0.999119
128,64,4096,2,4,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
128,64,4096,2,4,8,256,0.009848,1.969635,0.015245,0.000792,0.999172
128,64,4096,4,2,8,128,0.012481,2.496272,0.030475,0.00094,0.999652
128,64,4096,4,2,8,256,0.009846,1.969119,0.015245,0.000769,0.999306
128,64,4096,4,4,8,128,0.012481,2.496272,0.030475,0.00094,0.999652
128,64,4096,4,4,8,256,0.009846,1.969119,0.015245,0.000769,0.999359
128,8,4096,2,2,8,128,0.012481,2.496272,0.030483,0.000956,0.999144
128,8,4096,2,2,8,256,0.009848,1.969635,0.015276,0.000792,0.995717
128,8,4096,2,4,8,128,0.012481,2.496272,0.03048,0.000956,0.999264
128,8,4096,2,4,8,256,0.009848,1.969635,0.015262,0.000792,0.997149
128,8,4096,4,2,8,128,0.012481,2.496272,0.030483,0.00094,0.999224
128,8,4096,4,2,8,256,0.009848,1.969635,0.015276,0.000769,0.995902
128,8,4096,4,4,8,128,0.012481,2.496272,0.03048,0.00094,0.999344
128,8,4096,4,4,8,256,0.009848,1.969635,0.015262,0.000769,0.997335
16,16,4096,2,2,8,64,0.017116,3.42313,0.060933,0.001066,0.998882
16,16,4096,2,4,8,64,0.017116,3.42313,0.060932,0.001063,0.998928
16,16,4096,4,2,8,64,0.017126,3.425239,0.060933,0.00101,0.999116
16,16,4096,4,4,8,64,0.017116,3.42313,0.060932,0.001007,0.999163
16,32,4096,2,2,8,64,0.017116,3.42313,0.060932,0.001063,0.998928
16,32,4096,2,4,8,64,0.017116,3.42313,0.060932,0.001063,0.998935
16,32,4096,4,2,8,64,0.017096,3.419281,0.060932,0.001007,0.999163
16,32,4096,4,4,8,64,0.017096,3.419281,0.060932,0.001007,0.999169
16,64,4096,2,2,8,64,0.017116,3.42313,0.060932,0.001063,0.998935
16,64,4096,2,4,8,64,0.017116,3.42313,0.060932,0.001063,0.998935
16,64,4096,4,2,8,64,0.017096,3.419281,0.060932,0.001007,0.999169
16,64,4096,4,4,8,64,0.017096,3.419281,0.060932,0.001007,0.999169
16,8,4096,2,2,8,64,0.017116,3.42313,0.060936,0.001066,0.998801
16,8,4096,4,2,8,64,0.017126,3.425239,0.060936,0.00101,0.999036
32,16,4096,2,2,8,64,0.017109,3.421717,0.060933,0.000982,0.999223
32,16,4096,2,4,8,64,0.017096,3.419281,0.060932,0.000978,0.99927
32,16,4096,4,2,8,64,0.017109,3.421836,0.060933,0.000874,0.999672
32,16,4096,4,4,8,64,0.017109,3.421836,0.060932,0.000872,0.999712
32,32,4096,2,2,8,64,0.017096,3.419281,0.060932,0.000978,0.99927
32,32,4096,2,4,8,64,0.017096,3.419281,0.060932,0.000978,0.999276
32,32,4096,4,2,8,64,0.017109,3.421836,0.060932,0.000872,0.999712
32,32,4096,4,4,8,64,0.017109,3.421836,0.060932,0.000872,0.999719
32,64,4096,2,2,8,64,0.017096,3.419281,0.060932,0.000978,0.999276
