I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
128,128,1024,2,2,4,128,0.006228,1.245665,0.001084,0.00054,0.647782
128,128,1024,2,2,8,128,0.006228,1.245665,0.001084,0.00054,0.647782
128,128,1024,2,4,4,128,0.006229,1.24579,0.001159,0.00054,0.617559
128,128,1024,2,4,8,128,0.006229,1.24579,0.001159,0.00054,0.617559
128,128,1024,4,2,4,128,0.006228,1.245665,0.001084,0.000524,0.651868
128,128,1024,4,2,8,128,0.006228,1.245665,0.001084,0.000524,0.651868
128,128,1024,4,4,4,128,0.006229,1.24579,0.001159,0.000524,0.621272
128,128,1024,4,4,8,128,0.006229,1.24579,0.001159,0.000524,0.621272
128,128,256,2,2,4,128,0.00623,1.246094,0.001084,0.00054,0.653568
128,128,256,2,2,8,128,0.006229,1.24579,0.001084,0.00054,0.64947
128,128,256,2,4,4,128,0.006231,1.246246,0.001159,0.00054,0.622386
128,128,256,2,4,8,128,0.00623,1.245993,0.001159,0.00054,0.620317
128,128,256,4,2,4,128,0.00623,1.246008,0.001084,0.000524,0.656963
128,128,256,4,2,8,128,0.006229,1.24579,0.001084,0.000524,0.653324
128,128,256,4,4,4,128,0.006231,1.246158,0.001159,0.000524,0.625665
128,128,256,4,4,8,128,0.00623,1.245971,0.001159,0.000524,0.623815
128,128,4096,2,2,4,128,0.006228,1.245665,0.001084,0.00054,0.647782
128,128,4096,2,2,8,128,0.006228,1.245665,0.001084,0.00054,0.647782
128,128,4096,2,4,4,128,0.006229,1.24579,0.001159,0.00054,0.617559
128,128,4096,2,4,8,128,0.006229,1.24579,0.001159,0.00054,0.617559
128,128,4096,4,2,4,128,0.006228,1.245665,0.001084,0.000524,0.651868
128,128,4096,4,2,8,128,0.006228,1.245665,0.001084,0.000524,0.651868
128,128,4096,4,4,4,128,0.006229,1.24579,0.001159,0.000524,0.621272
128,128,4096,4,4,8,128,0.006229,1.24579,0.001159,0.000524,0.621272
128,64,1024,2,2,4,128,0.006254,1.250831,0.00209,0.000541,0.345857
128,64,1024,2,2,8,128,0.006254,1.250831,0.00209,0.000541,0.345857
128,64,1024,2,4,4,128,0.006248,1.249565,0.001964,0.00054,0.373143
128,64,1024,2,4,8,128,0.006248,1.249565,0.001964,0.00054,0.373143
128,64,1024,4,2,4,128,0.006254,1.250831,0.00209,0.000525,0.347018
128,64,1024,4,2,8,128,0.006254,1.250831,0.00209,0.000525,0.347018
128,64,1024,4,4,4,128,0.006248,1.249565,0.001964,0.000524,0.374495
128,64,1024,4,4,8,128,0.006248,1.249565,0.001964,0.000524,0.374495
128,64,256,2,2,4,128,0.006256,1.251105,0.00209,0.000541,0.348044
128,64,256,2,2,8,128,0.006254,1.250846,0.00209,0.000541,0.346114
128,64,256,2,4,4,128,0.00625,1.249922,0.001964,0.00054,0.375226
128,64,256,2,4,8,128,0.006249,1.249721,0.001964,0.00054,0.37342
128,64,256,4,2,4,128,0.006255,1.251089,0.00209,0.000525,0.348825
128,64,256,4,2,8,128,0.006254,1.250846,0.00209,0.000525,0.347276
128,64,256,4,4,4,128,0.006249,1.249765,0.001964,0.000524,0.376167
128,64,256,4,4,8,128,0.006249,1.249721,0.001964,0.000524,0.374774
128,64,4096,2,2,4,128,0.006254,1.250831,0.00209,0.000541,0.345857
128,64,4096,2,2,8,128,0.006254,1.250831,0.00209,0.000541,0.345857
128,64,4096,2,4,4,128,0.006248,1.249565,0.001964,0.00054,0.373143
128,64,4096,2,4,8,128,0.006248,1.249565,0.001964,0.00054,0.373143
128,64,4096,4,2,4,128,0.006254,1.250831,0.00209,0.000525,0.347018
128,64,4096,4,2,8,128,0.006254,1.250831,0.00209,0.000525,0.347018
128,64,4096,4,4,4,128,0.006248,1.249565,0.001964,0.000524,0.374495
128,64,4096,4,4,8,128,0.006248,1.249565,0.001964,0.000524,0.374495
32,128,1024,2,2,4,128,0.006243,1.248532,0.001084,0.001874,0.425623
32,128,1024,2,2,8,128,0.006243,1.248532,0.001084,0.001874,0.425623
32,128,1024,2,4,4,128,0.006245,1.249027,0.001159,0.001874,0.412335
32,128,1024,2,4,8,128,0.006245,1.249027,0.001159,0.001874,0.412335
32,128,1024,4,2,4,128,0.006234,1.246836,0.001084,0.000827,0.581653
32,128,1024,4,2,8,128,0.006234,1.246836,0.001084,0.000827,0.581653
32,128,1024,4,4,4,128,0.006235,1.247078,0.001159,0.000827,0.557125
32,128,1024,4,4,8,128,0.006235,1.247078,0.001159,0.000827,0.557125
32,128,256,2,2,4,128,0.006246,1.249111,0.001084,0.001874,0.431248
32,128,256,2,2,8,128,0.006244,1.248776,0.001084,0.001874,0.427211
32,128,256,2,4,4,128,0.006247,1.249371,0.001159,0.001874,0.417102
32,128,256,2,4,8,128,0.006246,1.249153,0.001159,0.001874,0.414642
32,128,256,4,2,4,128,0.006237,1.247355,0.001085,0.000827,0.588376
32,128,256,4,2,8,128,0.006235,1.24692,0.001084,0.000827,0.584038
32,128,256,4,4,4,128,0.006238,1.247552,0.001159,0.000827,0.562734
32,128,256,4,4,8,128,0.006237,1.247323,0.001159,0.000827,0.560449
32,128,4096,2,2,4,128,0.006243,1.248532,0.001084,0.001874,0.425623
32,128,4096,2,2,8,128,0.006243,1.248532,0.001084,0.001874,0.425623
32,128,4096,2,4,4,128,0.006245,1.249027,0.001159,0.001874,0.412335
32,128,4096,2,4,8,128,0.006245,1.249027,0.001159,0.001874,0.412335
32,128,4096,4,2,4,128,0.006234,1.246836,0.001084,0.000827,0.581653
32,128,4096,4,2,8,128,0.006234,1.246836,0.001084,0.000827,0.581653
32,128,4096,4,4,4,128,0.006235,1.247078,0.001159,0.000827,0.557125
32,128,4096,4,4,8,128,0.006235,1.247078,0.001159,0.000827,0.557125
32,64,1024,2,2,4,128,0.006269,1.253847,0.00209,0.001878,0.270044
32,64,1024,2,2,8,128,0.006269,1.253847,0.00209,0.001878,0.270044
32,64,1024,2,4,4,128,0.006261,1.252282,0.001963,0.001875,0.286677
32,64,1024,2,4,8,128,0.006261,1.252282,0.001963,0.001875,0.286677
32,64,1024,4,2,4,128,0.006261,1.252159,0.00209,0.000828,0.325765
32,64,1024,4,2,8,128,0.006261,1.252159,0.00209,0.000828,0.325765
32,64,1024,4,4,4,128,0.006253,1.250584,0.001963,0.000828,0.349948
32,64,1024,4,4,8,128,0.006253,1.250584,0.001963,0.000828,0.349948
32,64,256,2,2,4,128,0.006271,1.254133,0.00209,0.001878,0.273268
32,64,256,2,2,8,128,0.006269,1.253871,0.00209,0.001878,0.270749
32,64,256,2,4,4,128,0.006263,1.252614,0.001963,0.001875,0.289457
32,64,256,2,4,8,128,0.006262,1.252443,0.001963,0.001875,0.287318
32,64,256,4,2,4,128,0.006262,1.252428,0.00209,0.000828,0.329407
