I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
64,128,1024,2,2,4,128,0.012831,2.566219,0.030475,0.000997,0.999371
64,128,1024,2,2,8,128,0.012833,2.566573,0.030475,0.000997,0.999371
64,128,1024,2,4,4,128,0.012831,2.566219,0.030475,0.000997,0.999371
64,128,1024,2,4,8,128,0.012833,2.566573,0.030475,0.000997,0.999371
64,128,1024,4,2,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
64,128,1024,4,2,8,128,0.012833,2.566573,0.030475,0.000956,0.999572
64,128,1024,4,4,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
64,128,1024,4,4,8,128,0.012833,2.566573,0.030475,0.000956,0.999572
64,128,2048,2,2,4,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,128,2048,2,2,8,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,128,2048,2,4,4,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,128,2048,2,4,8,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,128,2048,4,2,4,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,128,2048,4,2,8,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,128,2048,4,4,4,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,128,2048,4,4,8,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,128,4096,2,2,4,128,0.012481,2.496143,0.030475,0.000997,0.999371
64,128,4096,2,2,8,128,0.012481,2.496272,0.030475,0.000997,0.999371
64,128,4096,2,4,4,128,0.012481,2.496143,0.030475,0.000997,0.999371
64,128,4096,2,4,8,128,0.012481,2.496272,0.030475,0.000997,0.999371
64,128,4096,4,2,4,128,0.012481,2.496143,0.030475,0.000956,0.999572
64,128,4096,4,2,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
64,128,4096,4,4,4,128,0.012481,2.496143,0.030475,0.000956,0.999572
64,128,4096,4,4,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
64,16,1024,2,2,4,128,0.012831,2.566219,0.030478,0.000997,0.999211
64,16,1024,2,2,8,128,0.012833,2.566573,0.030478,0.000997,0.999211
64,16,1024,2,4,4,128,0.012831,2.566219,0.030476,0.000997,0.999331
64,16,1024,2,4,8,128,0.012833,2.566573,0.030476,0.000997,0.999331
64,16,1024,4,2,4,128,0.012831,2.566219,0.030478,0.000956,0.999411
64,16,1024,4,2,8,128,0.012833,2.566573,0.030478,0.000956,0.999411
64,16,1024,4,4,4,128,0.012831,2.566219,0.030476,0.000956,0.999532
64,16,1024,4,4,8,128,0.012833,2.566573,0.030476,0.000956,0.999532
64,16,2048,2,2,4,128,0.012714,2.542861,0.030478,0.000997,0.999211
64,16,2048,2,2,8,128,0.012714,2.542861,0.030478,0.000997,0.999211
64,16,2048,2,4,4,128,0.012714,2.542861,0.030476,0.000997,0.999331
64,16,2048,2,4,8,128,0.012714,2.542861,0.030476,0.000997,0.999331
64,16,2048,4,2,4,128,0.012714,2.542861,0.030478,0.000956,0.999411
64,16,2048,4,2,8,128,0.012714,2.542861,0.030478,0.000956,0.999411
64,16,2048,4,4,4,128,0.012714,2.542861,0.030476,0.000956,0.999532
64,16,2048,4,4,8,128,0.012714,2.542861,0.030476,0.000956,0.999532
64,16,4096,2,2,4,128,0.012481,2.496143,0.030478,0.000997,0.999211
64,16,4096,2,2,8,128,0.012481,2.496272,0.030478,0.000997,0.999211
64,16,4096,2,4,4,128,0.012481,2.496143,0.030476,0.000997,0.999331
64,16,4096,2,4,8,128,0.012481,2.496272,0.030476,0.000997,0.999331
64,16,4096,4,2,4,128,0.012481,2.496143,0.030478,0.000956,0.999411
64,16,4096,4,2,8,128,0.012481,2.496272,0.030478,0.000956,0.999411
64,16,4096,4,4,4,128,0.012481,2.496143,0.030476,0.000956,0.999532
64,16,4096,4,4,8,128,0.012481,2.496272,0.030476,0.000956,0.999532
64,32,1024,2,2,4,128,0.012831,2.566219,0.030475,0.000997,0.999358
64,32,1024,2,2,8,128,0.012833,2.566573,0.030475,0.000997,0.999358
64,32,1024,2,4,4,128,0.012831,2.566219,0.030475,0.000997,0.999371
64,32,1024,2,4,8,128,0.012833,2.566573,0.030475,0.000997,0.999371
64,32,1024,4,2,4,128,0.012831,2.566219,0.030475,0.000956,0.999558
64,32,1024,4,2,8,128,0.012833,2.566573,0.030475,0.000956,0.999558
64,32,1024,4,4,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
64,32,1024,4,4,8,128,0.012833,2.566573,0.030475,0.000956,0.999572
64,32,2048,2,2,4,128,0.012714,2.542861,0.030475,0.000997,0.999358
64,32,2048,2,2,8,128,0.012714,2.542861,0.030475,0.000997,0.999358
64,32,2048,2,4,4,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,32,2048,2,4,8,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,32,2048,4,2,4,128,0.012714,2.542861,0.030475,0.000956,0.999558
64,32,2048,4,2,8,128,0.012714,2.542861,0.030475,0.000956,0.999558
64,32,2048,4,4,4,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,32,2048,4,4,8,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,32,4096,2,2,4,128,0.012481,2.496143,0.030475,0.000997,0.999358
64,32,4096,2,2,8,128,0.012481,2.496272,0.030475,0.000997,0.999358
64,32,4096,2,4,4,128,0.012481,2.496143,0.030475,0.000997,0.999371
64,32,4096,2,4,8,128,0.012481,2.496272,0.030475,0.000997,0.999371
64,32,4096,4,2,4,128,0.012481,2.496143,0.030475,0.000956,0.999558
64,32,4096,4,2,8,128,0.012481,2.496272,0.030475,0.000956,0.999558
64,32,4096,4,4,4,128,0.012481,2.496143,0.030475,0.000956,0.999572
64,32,4096,4,4,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
64,64,1024,2,2,4,128,0.012831,2.566219,0.030475,0.000997,0.999371
64,64,1024,2,2,8,128,0.012833,2.566573,0.030475,0.000997,0.999371
64,64,1024,2,4,4,128,0.012831,2.566219,0.030475,0.000997,0.999371
64,64,1024,2,4,8,128,0.012833,2.566573,0.030475,0.000997,0.999371
64,64,1024,4,2,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
64,64,1024,4,2,8,128,0.012833,2.566573,0.030475,0.000956,0.999572
64,64,1024,4,4,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
64,64,1024,4,4,8,128,0.012833,2.566573,0.030475,0.000956,0.999572
64,64,2048,2,2,4,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,64,2048,2,2,8,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,64,2048,2,4,4,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,64,2048,2,4,8,128,0.012714,2.542861,0.030475,0.000997,0.999371
64,64,2048,4,2,4,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,64,2048,4,2,8,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,64,2048,4,4,4,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,64,2048,4,4,8,128,0.012714,2.542861,0.030475,0.000956,0.999572
64,64,4096,2,2,4,128,0.012481,2.496143,0.030475,0.000997,0.999371
64,64,4096,2,2,8,128,0.012481,2.496272,0.030475,0.000997,0.999371
64,64,4096,2,4,4,128,0.012481,2.496143,0.030475,0.000997,0.999371
64,64,4096,2,4,8,128,0.012481,2.496272,0.030475,0.000997,0.999371
64,64,4096,4,2,4,128,0.012481,2.496143,0.030475,0.000956,0.999572
64,64,4096,4,2,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
64,64,4096,4,4,4,128,0.012481,2.496143,0.030475,0.000956,0.999572
64,64,4096,4,4,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
64,8,1024,2,2,4,128,0.012831,2.566219,0.030483,0.000997,0.998943
64,8,1024,2,2,8,128,0.012833,2.566573,0.030483,0.000997,0.998943
64,8,1024,2,4,4,128,0.012831,2.566219,0.03048,0.000997,0.999064
64,8,1024,2,4,8,128,0.012833,2.566573,0.03048,0.000997,0.999064
64,8,1024,4,2,4,128,0.012831,2.566219,0.030483,0.000956,0.999144
64,8,1024,4,2,8,128,0.012833,2.566573,0.030483,0.000956,0.999144
64,8,1024,4,4,4,128,0.012831,2.566219,0.03048,0.000956,0.999264
64,8,1024,4,4,8,128,0.012833,2.566573,0.03048,0.000956,0.999264
64,8,2048,2,2,4,128,0.012714,2.542861,0.030483,0.000997,0.998943
64,8,2048,2,2,8,128,0.012714,2.542861,0.030483,0.000997,0.998943
64,8,2048,2,4,4,128,0.012714,2.542861,0.03048,0.000997,0.999064
64,8,2048,2,4,8,128,0.012714,2.542861,0.03048,0.000997,0.999064
64,8,2048,4,2,4,128,0.012714,2.542861,0.030483,0.000956,0.999144
64,8,2048,4,2,8,128,0.012714,2.542861,0.030483,0.000956,0.999144
64,8,2048,4,4,4,128,0.012714,2.542861,0.03048,0.000956,0.999264
64,8,2048,4,4,8,128,0.012714,2.542861,0.03048,0.000956,0.999264
64,8,4096,2,2,4,128,0.012481,2.496143,0.030483,0.000997,0.998943
64,8,4096,2,2,8,128,0.012481,2.496272,0.030483,0.000997,0.998943
64,8,4096,2,4,4,128,0.012481,2.496143,0.03048,0.000997,0.999064
64,8,4096,2,4,8,128,0.012481,2.496272,0.03048,0.000997,0.999064
64,8,4096,4,2,4,128,0.012481,2.496143,0.030483,0.000956,0.999144
64,8,4096,4,2,8,128,0.012481,2.496272,0.030483,0.000956,0.999144
64,8,4096,4,4,4,128,0.012481,2.496143,0.03048,0.000956,0.999264
64,8,4096,4,4,8,128,0.012481,2.496272,0.03048,0.000956,0.999264
128,128,1024,2,2,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
128,128,1024,2,2,8,128,0.012833,2.566573,0.030475,0.000956,0.999572
128,128,1024,2,4,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
128,128,1024,2,4,8,128,0.012833,2.566573,0.030475,0.000956,0.999572
128,128,1024,4,2,4,128,0.012831,2.566219,0.030475,0.00094,0.999652
128,128,1024,4,2,8,128,0.012833,2.566573,0.030475,0.00094,0.999652
128,128,1024,4,4,4,128,0.012831,2.566219,0.030475,0.00094,0.999652
128,128,1024,4,4,8,128,0.012833,2.566573,0.030475,0.00094,0.999652
128,128,2048,2,2,4,128,0.012714,2.542861,0.030475,0.000956,0.999572
128,128,2048,2,2,8,128,0.012714,2.542861,0.030475,0.000956,0.999572
128,128,2048,2,4,4,128,0.012714,2.542861,0.030475,0.000956,0.999572
128,128,2048,2,4,8,128,0.012714,2.542861,0.030475,0.000956,0.999572
128,128,2048,4,2,4,128,0.012714,2.542861,0.030475,0.00094,0.999652
128,128,2048,4,2,8,128,0.012714,2.542861,0.030475,0.00094,0.999652
128,128,2048,4,4,4,128,0.012714,2.542861,0.030475,0.00094,0.999652
128,128,2048,4,4,8,128,0.012714,2.542861,0.030475,0.00094,0.999652
128,128,4096,2,2,4,128,0.012481,2.496143,0.030475,0.000956,0.999572
128,128,4096,2,2,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
128,128,4096,2,4,4,128,0.012481,2.496143,0.030475,0.000956,0.999572
128,128,4096,2,4,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
128,128,4096,4,2,4,128,0.012481,2.496143,0.030475,0.00094,0.999652
128,128,4096,4,2,8,128,0.012481,2.496272,0.030475,0.00094,0.999652
128,128,4096,4,4,4,128,0.012481,2.496143,0.030475,0.00094,0.999652
128,128,4096,4,4,8,128,0.012481,2.496272,0.030475,0.00094,0.999652
128,16,1024,2,2,4,128,0.012831,2.566219,0.030478,0.000956,0.999411
128,16,1024,2,2,8,128,0.012833,2.566573,0.030478,0.000956,0.999411
128,16,1024,2,4,4,128,0.012831,2.566219,0.030476,0.000956,0.999532
128,16,1024,2,4,8,128,0.012833,2.566573,0.030476,0.000956,0.999532
128,16,1024,4,2,4,128,0.012831,2.566219,0.030478,0.00094,0.999491
128,16,1024,4,2,8,128,0.012833,2.566573,0.030478,0.00094,0.999491
128,16,1024,4,4,4,128,0.012831,2.566219,0.030476,0.00094,0.999612
128,16,1024,4,4,8,128,0.012833,2.566573,0.030476,0.00094,0.999612
128,16,2048,2,2,4,128,0.012714,2.542861,0.030478,0.000956,0.999411
128,16,2048,2,2,8,128,0.012714,2.542861,0.030478,0.000956,0.999411
128,16,2048,2,4,4,128,0.012714,2.542861,0.030476,0.000956,0.999532
128,16,2048,2,4,8,128,0.012714,2.542861,0.030476,0.000956,0.999532
128,16,2048,4,2,4,128,0.012714,2.542861,0.030478,0.00094,0.999491
128,16,2048,4,2,8,128,0.012714,2.542861,0.030478,0.00094,0.999491
128,16,2048,4,4,4,128,0.012714,2.542861,0.030476,0.00094,0.999612
128,16,2048,4,4,8,128,0.012714,2.542861,0.030476,0.00094,0.999612
128,16,4096,2,2,4,128,0.012481,2.496143,0.030478,0.000956,0.999411
128,16,4096,2,2,8,128,0.012481,2.496272,0.030478,0.000956,0.999411
128,16,4096,2,4,4,128,0.012481,2.496143,0.030476,0.000956,0.999532
128,16,4096,2,4,8,128,0.012481,2.496272,0.030476,0.000956,0.999532
128,16,4096,4,2,4,128,0.012481,2.496143,0.030478,0.00094,0.999491
128,16,4096,4,2,8,128,0.012481,2.496272,0.030478,0.00094,0.999491
128,16,4096,4,4,4,128,0.012481,2.496143,0.030476,0.00094,0.999612
128,16,4096,4,4,8,128,0.012481,2.496272,0.030476,0.00094,0.999612
128,32,1024,2,2,4,128,0.012831,2.566219,0.030475,0.000956,0.999558
128,32,1024,2,2,8,128,0.012833,2.566573,0.030475,0.000956,0.999558
128,32,1024,2,4,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
128,32,1024,2,4,8,128,0.012833,2.566573,0.030475,0.000956,0.999572
128,32,1024,4,2,4,128,0.012831,2.566219,0.030475,0.00094,0.999639
128,32,1024,4,2,8,128,0.012833,2.566573,0.030475,0.00094,0.999639
128,32,1024,4,4,4,128,0.012831,2.566219,0.030475,0.00094,0.999652
128,32,1024,4,4,8,128,0.012833,2.566573,0.030475,0.00094,0.999652
128,32,2048,2,2,4,128,0.012714,2.542861,0.030475,0.000956,0.999558
128,32,2048,2,2,8,128,0.012714,2.542861,0.030475,0.000956,0.999558
128,32,2048,2,4,4,128,0.012714,2.542861,0.030475,0.000956,0.999572
128,32,2048,2,4,8,128,0.012714,2.542861,0.030475,0.000956,0.999572
128,32,2048,4,2,4,128,0.012714,2.542861,0.030475,0.00094,0.999639
128,32,2048,4,2,8,128,0.012714,2.542861,0.030475,0.00094,0.999639
128,32,2048,4,4,4,128,0.012714,2.542861,0.030475,0.00094,0.999652
128,32,2048,4,4,8,128,0.012714,2.542861,0.030475,0.00094,0.999652
128,32,4096,2,2,4,128,0.012481,2.496143,0.030475,0.000956,0.999558
128,32,4096,2,2,8,128,0.012481,2.496272,0.030475,0.000956,0.999558
128,32,4096,2,4,4,128,0.012481,2.496143,0.030475,0.000956,0.999572
128,32,4096,2,4,8,128,0.012481,2.496272,0.030475,0.000956,0.999572
128,32,4096,4,2,4,128,0.012481,2.496143,0.030475,0.00094,0.999639
128,32,4096,4,2,8,128,0.012481,2.496272,0.030475,0.00094,0.999639
128,32,4096,4,4,4,128,0.012481,2.496143,0.030475,0.00094,0.999652
128,32,4096,4,4,8,128,0.012481,2.496272,0.030475,0.00094,0.999652
128,64,1024,2,2,4,128,0.012831,2.566219,0.030475,0.000956,0.999572
