I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
128,128,2048,2,2,4,128,0.006198,1.239514,0.004298,0.00014,0.966484
128,128,2048,2,2,4,256,0.005943,1.188652,0.002186,9.7E-05,0.958709
128,128,2048,2,2,8,128,0.006198,1.239514,0.004298,0.00014,0.966484
128,128,2048,2,2,8,256,0.005943,1.188652,0.002186,9.7E-05,0.958709
128,128,2048,2,4,4,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,128,2048,2,4,4,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,128,2048,2,4,8,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,128,2048,2,4,8,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,128,2048,4,2,4,128,0.006198,1.239514,0.004298,0.00014,0.966484
128,128,2048,4,2,4,256,0.005943,1.188652,0.002186,9.7E-05,0.958709
128,128,2048,4,2,8,128,0.006198,1.239514,0.004298,0.00014,0.966484
128,128,2048,4,2,8,256,0.005943,1.188652,0.002186,9.7E-05,0.958709
128,128,2048,4,4,4,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,128,2048,4,4,4,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,128,2048,4,4,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,128,2048,4,4,8,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,128,2048,4,4,8,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,128,2048,4,4,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,128,2048,4,8,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,128,2048,4,8,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,128,2048,8,4,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,128,2048,8,4,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,128,2048,8,8,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,128,2048,8,8,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,128,4096,2,2,4,128,0.006198,1.239514,0.004298,0.00014,0.966484
128,128,4096,2,2,4,256,0.005943,1.188652,0.002186,9.7E-05,0.958709
128,128,4096,2,2,8,128,0.006198,1.239514,0.004298,0.00014,0.966484
128,128,4096,2,2,8,256,0.005943,1.188652,0.002186,9.7E-05,0.958709
128,128,4096,2,4,4,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,128,4096,2,4,4,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,128,4096,2,4,8,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,128,4096,2,4,8,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,128,4096,4,2,4,128,0.006198,1.239514,0.004298,0.00014,0.966484
128,128,4096,4,2,4,256,0.005943,1.188652,0.002186,9.7E-05,0.958709
128,128,4096,4,2,8,128,0.006198,1.239514,0.004298,0.00014,0.966484
128,128,4096,4,2,8,256,0.005943,1.188652,0.002186,9.7E-05,0.958709
128,128,4096,4,4,4,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,128,4096,4,4,4,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,128,4096,4,4,8,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,128,4096,4,4,8,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,32,2048,4,4,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,32,2048,4,4,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,32,2048,4,8,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,32,2048,4,8,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,32,2048,8,4,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,32,2048,8,4,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,32,2048,8,8,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,32,2048,8,8,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,2048,2,2,4,128,0.006198,1.239514,0.004314,0.00014,0.96307
128,64,2048,2,2,4,256,0.005943,1.188694,0.002209,9.7E-05,0.947586
128,64,2048,2,2,8,128,0.006198,1.239514,0.004314,0.00014,0.96307
128,64,2048,2,2,8,256,0.005943,1.188694,0.002209,9.7E-05,0.947586
128,64,2048,2,4,4,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,64,2048,2,4,4,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,64,2048,2,4,8,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,64,2048,2,4,8,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,64,2048,4,2,4,128,0.006198,1.239514,0.004314,0.00014,0.96307
128,64,2048,4,2,4,256,0.005943,1.188694,0.002209,9.7E-05,0.947586
128,64,2048,4,2,8,128,0.006198,1.239514,0.004314,0.00014,0.96307
128,64,2048,4,2,8,256,0.005943,1.188694,0.002209,9.7E-05,0.947586
128,64,2048,4,4,4,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,64,2048,4,4,4,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,64,2048,4,4,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,2048,4,4,8,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,64,2048,4,4,8,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,64,2048,4,4,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,2048,4,8,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,2048,4,8,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,2048,8,4,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,2048,8,4,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,2048,8,8,4,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,2048,8,8,8,64,0.006701,1.340156,0.008545,0.000198,0.967565
128,64,4096,2,2,4,128,0.006198,1.239514,0.004314,0.00014,0.96307
128,64,4096,2,2,4,256,0.005943,1.188694,0.002209,9.7E-05,0.947586
128,64,4096,2,2,8,128,0.006198,1.239514,0.004314,0.00014,0.96307
128,64,4096,2,2,8,256,0.005943,1.188694,0.002209,9.7E-05,0.947586
128,64,4096,2,4,4,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,64,4096,2,4,4,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,64,4096,2,4,8,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,64,4096,2,4,8,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,64,4096,4,2,4,128,0.006198,1.239514,0.004314,0.00014,0.96307
128,64,4096,4,2,4,256,0.005943,1.188694,0.002209,9.7E-05,0.947586
128,64,4096,4,2,8,128,0.006198,1.239514,0.004314,0.00014,0.96307
128,64,4096,4,2,8,256,0.005943,1.188694,0.002209,9.7E-05,0.947586
128,64,4096,4,4,4,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,64,4096,4,4,4,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
128,64,4096,4,4,8,128,0.006198,1.239514,0.004302,0.00014,0.966173
128,64,4096,4,4,8,256,0.005943,1.188652,0.002181,9.7E-05,0.962542
16,16,1024,2,2,4,64,0.008508,1.70165,0.009554,0.05972,0.10261
16,16,1024,2,2,8,64,0.008506,1.701209,0.009554,0.05972,0.10261
16,16,1024,2,4,4,64,0.008486,1.697284,0.008577,0.059726,0.104451
16,16,1024,2,4,8,64,0.008488,1.697613,0.008577,0.059726,0.104451
