I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
16,64,4096,4,4,8,128,0.019374,3.874741,0.041203,0.00018,0.999217
64,32,4096,2,4,8,128,0.019373,3.874535,0.041204,0.000157,0.999488
8,32,4096,2,4,8,128,0.019377,3.875355,0.041203,0.000222,0.998607
8,64,4096,2,2,8,128,0.019376,3.875124,0.041202,0.000222,0.998622
8,64,4096,2,4,8,128,0.019371,3.874258,0.041202,0.000222,0.998645
128,128,1024,2,2,8,256,0.015613,3.122603,0.02062,0.000115,0.999399
128,128,1024,2,4,8,256,0.015613,3.122507,0.02062,0.000115,0.999339
128,128,1024,4,2,8,256,0.015613,3.122603,0.02062,0.000113,0.999459
128,128,1024,4,4,8,256,0.015613,3.122507,0.02062,0.000113,0.999399
128,128,256,2,2,8,256,0.015784,3.156747,0.02062,0.000115,0.999414
128,128,256,2,4,8,256,0.015782,3.156488,0.02062,0.000115,0.999354
128,128,256,4,2,8,256,0.015784,3.156747,0.02062,0.000113,0.999474
128,128,256,4,4,8,256,0.015781,3.156179,0.02062,0.000113,0.999414
128,128,4096,2,2,8,256,0.015301,3.060109,0.02062,0.000115,0.999399
128,128,4096,2,4,8,256,0.0153,3.059921,0.02062,0.000115,0.999339
128,128,4096,4,2,8,256,0.0153,3.059985,0.02062,0.000113,0.999459
128,128,4096,4,4,8,256,0.0153,3.059985,0.02062,0.000113,0.999399
128,16,1024,2,2,8,256,0.015617,3.123425,0.020712,0.000115,0.991602
128,16,1024,2,4,8,256,0.015613,3.122603,0.020627,0.000115,0.998738
128,16,1024,4,2,8,256,0.015618,3.123654,0.020712,0.000113,0.991661
128,16,1024,4,4,8,256,0.015613,3.122603,0.020627,0.000113,0.998798
128,16,256,2,2,8,256,0.015685,3.136942,0.020712,0.000115,0.991632
128,16,256,2,4,8,256,0.015679,3.135887,0.020627,0.000115,0.998768
128,16,256,4,2,8,256,0.015686,3.137137,0.020712,0.000113,0.991691
128,16,256,4,4,8,256,0.01568,3.135922,0.020627,0.000113,0.998828
128,16,4096,2,2,8,256,0.015306,3.061174,0.020712,0.000115,0.991602
128,16,4096,2,4,8,256,0.015302,3.060313,0.020627,0.000115,0.998738
128,16,4096,4,2,8,256,0.015306,3.061139,0.020712,0.000113,0.991661
128,16,4096,4,4,8,256,0.0153,3.059982,0.020627,0.000113,0.998798
128,32,1024,2,2,8,256,0.015617,3.123425,0.020702,0.000115,0.992549
128,32,1024,2,4,8,256,0.015612,3.122399,0.020623,0.000115,0.999113
128,32,1024,4,2,8,256,0.015618,3.123654,0.020702,0.000113,0.992609
128,32,1024,4,4,8,256,0.015612,3.122399,0.020623,0.000113,0.999173
128,32,256,2,2,8,256,0.015686,3.137172,0.020702,0.000115,0.992579
128,32,256,2,4,8,256,0.01568,3.135922,0.020623,0.000115,0.999143
128,32,256,4,2,8,256,0.015686,3.137172,0.020702,0.000113,0.992639
128,32,256,4,4,8,256,0.01568,3.135983,0.020623,0.000113,0.999203
128,32,4096,2,2,8,256,0.015306,3.061139,0.020702,0.000115,0.992549
128,32,4096,2,4,8,256,0.0153,3.059982,0.020623,0.000115,0.999113
128,32,4096,4,2,8,256,0.015306,3.061267,0.020702,0.000113,0.992609
128,32,4096,4,4,8,256,0.0153,3.059982,0.020623,0.000113,0.999173
128,64,1024,2,2,8,256,0.015613,3.122542,0.020622,0.000115,0.999203
128,64,1024,2,4,8,256,0.015613,3.122542,0.020622,0.000115,0.999218
128,64,1024,4,2,8,256,0.015612,3.122399,0.020622,0.000113,0.999263
128,64,1024,4,4,8,256,0.015612,3.122399,0.020622,0.000113,0.999278
128,64,256,2,2,8,256,0.01568,3.135983,0.020622,0.000115,0.999233
128,64,256,2,4,8,256,0.015679,3.135887,0.020622,0.000115,0.999248
128,64,256,4,2,8,256,0.01568,3.135983,0.020622,0.000113,0.999293
128,64,256,4,4,8,256,0.015679,3.135887,0.020622,0.000113,0.999309
128,64,4096,2,2,8,256,0.0153,3.059982,0.020622,0.000115,0.999203
128,64,4096,2,4,8,256,0.0153,3.059982,0.020622,0.000115,0.999218
128,64,4096,4,2,8,256,0.0153,3.059982,0.020622,0.000113,0.999263
128,64,4096,4,4,8,256,0.0153,3.059982,0.020622,0.000113,0.999278
128,8,1024,2,2,8,256,0.015963,3.192619,0.02828,0.000115,0.577264
